Category,Metric,varianta_kotlin_2.2.0 Mean,variantb_k2_kotlin_2.2.0 Mean,varianta_kotlin_2.2.0 P50,variantb_k2_kotlin_2.2.0 P50,varianta_kotlin_2.2.0 P90,variantb_k2_kotlin_2.2.0 P90,Unit
Task Path,:layer_2:module_2_105:kspDebugKotlin,4210,3784,4222,3778,5019,4308,ms
Task Path,:layer_2:module_2_106:kspDebugKotlin,3655,3271,3735,3283,4202,3835,ms
Task Path,:layer_2:module_2_107:kspDebugKotlin,3592,3236,3535,3160,4306,3793,ms
Task Path,:layer_2:module_2_104:compileDebugKotlin,2144,2115,2094,2157,2767,2579,ms
Task Path,:layer_2:module_2_106:compileDebugKotlin,2679,2509,2586,2505,3300,2816,ms
Task Path,:layer_2:module_2_105:compileDebugKotlin,2648,2487,2576,2468,3181,2850,ms
Task Path,:layer_2:module_2_107:compileDebugKotlin,2459,2429,2266,2451,3133,2947,ms
Task Path,:layer_2:module_2_108:kspDebugKotlin,2598,2879,2396,2813,3238,3519,ms
Task Path,:layer_2:module_2_109:kspDebugKotlin,2693,2998,2532,2901,3390,3616,ms
Task Path,:layer_2:module_2_111:kspDebugKotlin,2800,3158,2773,3110,3252,3949,ms
Task Path,:layer_2:module_2_110:kspDebugKotlin,3271,3796,3190,3822,3867,4393,ms
Task Path,:layer_2:module_2_108:compileDebugKotlin,1985,2238,1959,2204,2388,2654,ms
Task Path,:layer_2:module_2_109:compileDebugKotlin,2121,2363,2080,2345,2498,2714,ms
Task Path,:layer_2:module_2_111:compileDebugKotlin,2025,2182,1998,2197,2271,2624,ms
Task Path,:layer_2:module_2_110:compileDebugKotlin,2052,2173,2046,2199,2380,2552,ms
Task Path,:layer_2:module_2_112:kspDebugKotlin,2830,2990,2920,2993,3437,3616,ms
Task Path,:layer_2:module_2_113:kspDebugKotlin,2586,2759,2573,2750,3238,3261,ms
Task Path,:layer_2:module_2_114:kspDebugKotlin,2802,2900,2832,2835,3233,3291,ms
Task Path,:layer_2:module_2_115:kspDebugKotlin,3459,3607,3381,3540,4156,4336,ms
Task Path,:layer_2:module_2_112:compileDebugKotlin,1974,2023,1922,2059,2458,2382,ms
Task Path,:layer_2:module_2_113:compileDebugKotlin,2184,2259,2126,2249,2638,2674,ms
Task Path,:layer_2:module_2_114:compileDebugKotlin,2088,2242,2064,2182,2450,2618,ms
Task Path,:layer_2:module_2_115:compileDebugKotlin,2130,2129,2099,2097,2630,2677,ms
Task Path,:layer_2:module_2_116:kspDebugKotlin,3149,3180,3207,3099,3843,4020,ms
Task Path,:layer_2:module_2_117:kspDebugKotlin,2864,2924,2836,2834,3438,3497,ms
Task Path,:layer_2:module_2_118:kspDebugKotlin,2813,2864,2755,2824,3303,3411,ms
Task Path,:layer_2:module_2_119:kspDebugKotlin,2873,2931,2792,2951,3575,3376,ms
Task Path,:layer_2:module_2_116:compileDebugKotlin,2091,2216,2068,2165,2530,2701,ms
Task Path,:layer_2:module_2_117:compileDebugKotlin,2191,2158,2107,2148,2595,2587,ms
Task Path,:layer_2:module_2_118:compileDebugKotlin,2138,2092,2058,2110,2592,2395,ms
Task Path,:layer_2:module_2_119:compileDebugKotlin,2073,2041,2068,1998,2469,2488,ms
Task Path,:layer_2:module_2_121:kspDebugKotlin,2674,2927,2568,2905,3331,3426,ms
Task Path,:layer_2:module_2_120:kspDebugKotlin,3398,3516,3331,3427,4226,4047,ms
Task Path,:layer_2:module_2_122:kspDebugKotlin,2795,2954,2746,2915,3200,3419,ms
Task Path,:layer_2:module_2_123:kspDebugKotlin,2894,3109,2908,3124,3263,3614,ms
Task Path,:layer_2:module_2_121:compileDebugKotlin,2090,2294,2023,2291,2444,2703,ms
Task Path,:layer_2:module_2_120:compileDebugKotlin,2001,2159,1994,2081,2364,2722,ms
Task Path,:layer_2:module_2_122:compileDebugKotlin,2104,2245,2043,2244,2632,2705,ms
Task Path,:layer_2:module_2_123:compileDebugKotlin,1977,2058,1948,2006,2458,2556,ms
Task Path,:layer_2:module_2_124:kspDebugKotlin,2954,3046,2906,2927,3587,3809,ms
Task Path,:layer_2:module_2_125:kspDebugKotlin,3198,3406,3136,3378,3759,3986,ms
Task Path,:layer_2:module_2_126:kspDebugKotlin,2935,3069,2878,2987,3278,3520,ms
Task Path,:layer_2:module_2_127:kspDebugKotlin,2877,2972,2839,2915,3349,3502,ms
Task Path,:layer_2:module_2_124:compileDebugKotlin,1955,2048,1976,2010,2337,2486,ms
Task Path,:layer_2:module_2_126:compileDebugKotlin,2149,2061,2093,2017,2578,2386,ms
Task Path,:layer_2:module_2_125:compileDebugKotlin,2247,2126,2186,2061,2698,2577,ms
Task Path,:layer_2:module_2_127:compileDebugKotlin,2069,2049,2046,2016,2512,2404,ms
Task Path,:layer_2:module_2_128:kspDebugKotlin,2951,2913,2971,2829,3873,3593,ms
Task Path,:layer_2:module_2_129:kspDebugKotlin,2712,2754,2641,2700,3392,3201,ms
Task Path,:layer_2:module_2_130:kspDebugKotlin,3221,3513,3176,3506,3737,4054,ms
Task Path,:layer_2:module_2_131:kspDebugKotlin,2857,3125,2809,3094,3394,3698,ms
Task Path,:layer_2:module_2_128:compileDebugKotlin,1904,2086,1840,2040,2352,2651,ms
Task Path,:layer_2:module_2_129:compileDebugKotlin,2049,2180,2037,2113,2366,2681,ms
Task Path,:layer_2:module_2_131:compileDebugKotlin,2112,2120,2057,2129,2603,2448,ms
Task Path,:layer_2:module_2_130:compileDebugKotlin,2100,2080,2050,2015,2370,2419,ms
Task Path,:layer_2:module_2_132:kspDebugKotlin,2954,2890,2961,2826,3575,3552,ms
Task Path,:layer_2:module_2_133:kspDebugKotlin,2541,2763,2593,2782,3026,3309,ms
Task Path,:layer_2:module_2_132:compileDebugKotlin,1822,1967,1788,1966,2183,2402,ms
Task Path,:layer_2:module_2_134:kspDebugKotlin,2883,3073,2821,3067,3499,3655,ms
Task Path,:layer_2:module_2_133:compileDebugKotlin,2188,2233,2147,2212,2710,2814,ms
Task Path,:layer_2:module_2_135:kspDebugKotlin,3403,3718,3240,3727,3988,4355,ms
Task Path,:layer_2:module_2_134:compileDebugKotlin,2249,2389,2194,2404,2820,2809,ms
Task Path,:layer_2:module_2_135:compileDebugKotlin,2125,2204,2073,2206,2545,2692,ms
Task Path,:layer_2:module_2_136:kspDebugKotlin,3209,3253,3267,3218,3760,4012,ms
Task Path,:layer_2:module_2_137:kspDebugKotlin,2768,2886,2645,2847,3311,3525,ms
Task Path,:layer_2:module_2_136:compileDebugKotlin,1993,2247,1901,2215,2431,2836,ms
Task Path,:layer_2:module_2_137:compileDebugKotlin,2032,2155,1972,2160,2423,2777,ms
Task Path,:layer_2:module_2_138:kspDebugKotlin,2785,2830,2794,2822,3247,3553,ms
Task Path,:layer_2:module_2_93:kspDebugKotlin,2854,2997,2841,2988,3357,3576,ms
Task Path,:layer_2:module_2_93:compileDebugKotlin,2014,2070,1950,2064,2561,2502,ms
