Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25_parallel Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25_parallel P50,varianta_gradle_9_1_0 P90,variantb_jdk_25_parallel P90,Unit
Task Path,:entity:news-login:compileDebugKotlin,1344,1332,1255,1244,1851,1840,ms
Task Path,:entity:podcast-login:kspDebugKotlin,2395,2379,2329,2282,2954,2880,ms
Task Path,:entity:push-identity:kspDebugKotlin,2564,2225,2433,2171,3044,2593,ms
Task Path,:entity:photo-login:compileDebugKotlin,1339,1347,1256,1265,1746,1762,ms
Task Path,:entity:podcast-login:compileDebugKotlin,1359,1137,1255,1097,1773,1325,ms
Task Path,:entity:push-identity:compileDebugKotlin,1349,1218,1244,1178,1942,1480,ms
Task Path,:entity:task-login:kspDebugKotlin,2405,2175,2382,2127,3018,2535,ms
Task Path,:entity:timer-login:kspDebugKotlin,2434,2205,2372,2145,3024,2568,ms
Task Path,:entity:task-login:compileDebugKotlin,1377,1281,1294,1219,1793,1775,ms
Task Path,:entity:timer-login:compileDebugKotlin,1402,1308,1346,1201,1865,1772,ms
Task Path,:entity:todo-login:kspDebugKotlin,2409,2342,2367,2199,2951,3108,ms
Task Path,:entity:video-login:kspDebugKotlin,2473,2413,2449,2350,2942,2867,ms
Task Path,:entity:todo-login:compileDebugKotlin,1374,1189,1293,1165,1836,1416,ms
Task Path,:entity:video-login:compileDebugKotlin,1387,1372,1346,1232,1627,2049,ms
Task Path,:entity:weather-login:kspDebugKotlin,2517,2523,2503,2441,2998,3257,ms
Task Path,:entity:calendar-login:kspDebugKotlin,2536,2449,2491,2377,3050,3056,ms
Task Path,:entity:weather-login:compileDebugKotlin,1329,1322,1280,1237,1691,1781,ms
Task Path,:entity:calendar-login:compileDebugKotlin,1242,1409,1219,1261,1571,1864,ms
Task Path,:entity:forecast-login:kspDebugKotlin,2496,2507,2418,2373,2952,3177,ms
Task Path,:entity:playlist-login:kspDebugKotlin,2366,2340,2268,2211,2863,2909,ms
