Category,Metric,varianta_gradle_9_1_0 Mean,variantb_jdk_25 Mean,varianta_gradle_9_1_0 P50,variantb_jdk_25 P50,varianta_gradle_9_1_0 P90,variantb_jdk_25 P90,Unit
Task Path,:entity:task-login:kspDebugKotlin,2535,2277,2473,2177,3071,2774,ms
Task Path,:entity:push-identity:compileDebugKotlin,1353,1238,1306,1176,1822,1696,ms
Task Path,:entity:task-login:compileDebugKotlin,1380,1336,1304,1263,1757,1854,ms
Task Path,:entity:timer-login:kspDebugKotlin,2535,2305,2459,2155,3060,2922,ms
Task Path,:entity:todo-login:kspDebugKotlin,2493,2368,2481,2246,2947,3036,ms
Task Path,:entity:todo-login:compileDebugKotlin,1362,1327,1310,1209,1650,1961,ms
Task Path,:entity:timer-login:compileDebugKotlin,1336,1366,1336,1242,1576,1875,ms
Task Path,:entity:video-login:kspDebugKotlin,2462,2488,2413,2387,2939,3235,ms
Task Path,:entity:weather-login:kspDebugKotlin,2463,2542,2401,2427,2964,3122,ms
Task Path,:entity:video-login:compileDebugKotlin,1335,1486,1329,1358,1650,1985,ms
Task Path,:entity:weather-login:compileDebugKotlin,1296,1470,1282,1368,1553,1963,ms
Task Path,:entity:calendar-login:kspDebugKotlin,2484,2672,2436,2598,3004,3320,ms
Task Path,:entity:forecast-login:kspDebugKotlin,2436,2687,2396,2729,2867,3292,ms
Task Path,:entity:calendar-login:compileDebugKotlin,1279,1320,1245,1264,1591,1737,ms
Task Path,:entity:forecast-login:compileDebugKotlin,1266,1292,1215,1250,1485,1554,ms
Task Path,:entity:playlist-login:kspDebugKotlin,2320,2391,2268,2404,2785,2718,ms
Task Path,:data:account-identity:kspDebugKotlin,2635,2697,2575,2697,3345,3241,ms
