Category,Metric,varianta_gradle_9_2_0 Mean,variantb_gradle_9_1_0 Mean,varianta_gradle_9_2_0 P50,variantb_gradle_9_1_0 P50,varianta_gradle_9_2_0 P90,variantb_gradle_9_1_0 P90,Unit
Task Path,:repository:profile-login:compileDebugKotlin,1380,1455,1328,1407,1651,1862,ms
Task Path,:repository:push-login:compileDebugKotlin,1330,1469,1297,1415,1603,2035,ms
Task Path,:repository:setting-login:kspDebugKotlin,2425,2577,2374,2546,2975,3182,ms
Task Path,:repository:session-login:compileDebugKotlin,1514,1541,1462,1467,1974,1762,ms
Task Path,:repository:setting-login:compileDebugKotlin,1373,1379,1293,1312,1898,1709,ms
Task Path,:repository:share-login:kspDebugKotlin,2543,2504,2419,2392,3114,2975,ms
Task Path,:repository:sync-login:kspDebugKotlin,2551,2579,2461,2512,3158,3060,ms
Task Path,:repository:user-login:kspDebugKotlin,2455,2454,2336,2438,3016,2934,ms
Task Path,:repository:video-contact:kspDebugKotlin,2523,2503,2450,2439,3024,3072,ms
Task Path,:repository:share-login:compileDebugKotlin,1397,1364,1353,1330,1856,1685,ms
Task Path,:repository:sync-login:compileDebugKotlin,1455,1426,1374,1396,1916,1770,ms
