Category,Metric,varianta_main Mean,variantb_UseCompactObjectHeaders Mean,varianta_main P50,variantb_UseCompactObjectHeaders P50,varianta_main P90,variantb_UseCompactObjectHeaders P90,Unit
Task Path,:domain:forecast-login:compileDebugKotlin,2478,2368,2433,2347,3128,2840,ms
Task Path,:domain:file-identity:compileDebugKotlin,2439,2403,2345,2372,2962,2740,ms
Task Path,:domain:gallery-login:kspDebugKotlin,1304,1379,1258,1365,1701,1709,ms
Task Path,:domain:group-identity:kspDebugKotlin,1367,1348,1373,1337,1652,1645,ms
Task Path,:domain:identity-identity:kspDebugKotlin,1419,1415,1450,1392,1706,1787,ms
Task Path,:domain:list-login:kspDebugKotlin,1790,1763,1784,1751,2102,2007,ms
Task Path,:domain:gallery-login:compileDebugKotlin,2555,2370,2524,2324,3224,3042,ms
Task Path,:domain:group-identity:compileDebugKotlin,2495,2497,2451,2358,3070,3226,ms
Task Path,:domain:identity-identity:compileDebugKotlin,2632,2581,2521,2575,3254,3086,ms
Task Path,:domain:list-login:compileDebugKotlin,2501,2529,2447,2543,3088,3025,ms
Task Path,:domain:location-identity:kspDebugKotlin,1788,1852,1755,1802,2174,2240,ms
Task Path,:domain:log-identity:kspDebugKotlin,1431,1478,1369,1517,1781,1789,ms
Task Path,:domain:log-login:kspDebugKotlin,1462,1480,1461,1462,1886,1945,ms
