Category,Metric,varianta_2.2.20 Mean,variantb_2.3.0-beta2 Mean,varianta_2.2.20 P50,variantb_2.3.0-beta2 P50,varianta_2.2.20 P90,variantb_2.3.0-beta2 P90,Unit
Task Path,:entity:audio-login:kspDebugKotlin,2839,2759,2801,2762,3250,3220,ms
Task Path,:entity:calendar-login:kspDebugKotlin,2905,2791,2955,2795,3349,3131,ms
Task Path,:model:cart-login:compileDebugKotlin,1733,1752,1650,1718,2317,2181,ms
Task Path,:entity:alarm-login:compileDebugKotlin,1667,1636,1640,1647,1993,1965,ms
Task Path,:entity:audio-login:compileDebugKotlin,1732,1645,1668,1616,2288,1874,ms
Task Path,:entity:calendar-login:compileDebugKotlin,1711,1699,1713,1648,1998,1943,ms
Task Path,:model:message-login:compileDebugKotlin,1786,1712,1792,1688,2085,1955,ms
Task Path,:data:account-identity:kspDebugKotlin,2799,2666,2790,2649,3416,3186,ms
Task Path,:model:network-login:kspDebugKotlin,2922,2911,2919,2818,3445,3383,ms
Task Path,:model:profile-login:kspDebugKotlin,3010,2860,3002,2803,3607,3442,ms
Task Path,:data:account-identity:compileDebugKotlin,1516,1523,1481,1437,1813,2014,ms
Task Path,:model:report-login:kspDebugKotlin,2944,2820,2924,2719,3528,3372,ms
Task Path,:model:network-login:compileDebugKotlin,1635,1698,1630,1675,1977,2117,ms
Task Path,:model:profile-login:compileDebugKotlin,1851,1857,1810,1858,2302,2214,ms
Task Path,:model:report-login:compileDebugKotlin,1821,1842,1771,1816,2189,2187,ms
Task Path,:model:status-login:kspDebugKotlin,3137,2936,3070,2944,3699,3486,ms
Task Path,:model:status-login:compileDebugKotlin,1653,1569,1638,1555,1903,1822,ms
Task Path,:entity:document-login:kspDebugKotlin,3122,3015,3038,2933,3710,3568,ms
Task Path,:model:share-login:kspDebugKotlin,2852,2828,2783,2758,3282,3433,ms
Task Path,:model:account-login:kspDebugKotlin,2830,2890,2727,2849,3269,3560,ms
Task Path,:entity:document-login:compileDebugKotlin,1597,1600,1582,1585,1974,1854,ms
Task Path,:model:share-login:compileDebugKotlin,1643,1704,1584,1650,1947,2047,ms
Task Path,:model:account-login:compileDebugKotlin,1617,1673,1579,1637,1994,2085,ms
Task Path,:entity:contact-identity:kspDebugKotlin,2767,2841,2732,2718,3190,3426,ms
Task Path,:entity:contact-identity:compileDebugKotlin,1597,1656,1621,1645,1873,2031,ms
Task Path,:entity:event-login:kspDebugKotlin,2890,2819,2745,2817,3513,3491,ms
Task Path,:entity:file-login:kspDebugKotlin,2819,2766,2759,2672,3337,3287,ms
Task Path,:entity:forecast-login:kspDebugKotlin,2818,2725,2814,2712,3237,3170,ms
Task Path,:entity:gallery-login:kspDebugKotlin,3016,2965,2949,2935,3668,3500,ms
Task Path,:entity:event-login:compileDebugKotlin,1813,1677,1770,1630,2203,1896,ms
Task Path,:entity:file-login:compileDebugKotlin,1760,1751,1711,1697,2052,2048,ms
Task Path,:entity:forecast-login:compileDebugKotlin,1616,1601,1602,1592,1977,1931,ms
Task Path,:entity:gallery-login:compileDebugKotlin,1543,1534,1556,1574,1887,1735,ms
Task Path,:entity:list-login:kspDebugKotlin,3204,3041,3139,2971,3794,3877,ms
Task Path,:entity:map-login:kspDebugKotlin,2993,2932,2978,2944,3604,3357,ms
Task Path,:entity:login-identity:kspDebugKotlin,3146,3062,3141,3129,3753,3493,ms
Task Path,:entity:media-login:kspDebugKotlin,3395,3327,3385,3332,4017,3729,ms
Task Path,:entity:list-login:compileDebugKotlin,1524,1496,1468,1492,1939,2001,ms
Task Path,:entity:map-login:compileDebugKotlin,1912,1863,1923,1856,2306,2195,ms
Task Path,:entity:login-identity:compileDebugKotlin,1798,1765,1818,1792,2213,2084,ms
Task Path,:entity:media-login:compileDebugKotlin,1752,1657,1680,1618,2080,2024,ms
Task Path,:entity:news-login:kspDebugKotlin,2797,2784,2809,2783,3299,3318,ms
Task Path,:entity:news-login:compileDebugKotlin,1690,1566,1701,1536,2006,1892,ms
Task Path,:entity:note-login:kspDebugKotlin,2623,2597,2556,2516,3038,3157,ms
Task Path,:entity:photo-login:kspDebugKotlin,2691,2809,2650,2769,3192,3506,ms
Task Path,:entity:playlist-login:kspDebugKotlin,2738,2821,2723,2773,3248,3447,ms
