Category,Metric,varianta_2.2.10 Mean,variantb_2.2.20 Mean,varianta_2.2.10 P50,variantb_2.2.20 P50,varianta_2.2.10 P90,variantb_2.2.20 P90,Unit
Task Path,:core:feed:compileDebugKotlin,3109,3230,3096,3225,3447,3677,ms
Task Path,:core:contact:compileDebugKotlin,5099,5094,5137,5106,5589,5507,ms
Task Path,:core:comment:compileDebugKotlin,8808,9075,8827,8940,9475,10080,ms
Task Path,:core:group:compileDebugKotlin,6816,7021,6825,6975,7289,7555,ms
Task Path,:core:comment:compileDebugJavaWithJavac,1214,1248,1211,1234,1419,1403,ms
Task Path,:core:identity:kspDebugKotlin,5361,5454,5346,5423,5788,5876,ms
Task Path,:core:group:compileDebugJavaWithJavac,1019,1029,999,1007,1263,1243,ms
Task Path,:core:location:kspDebugKotlin,4764,4810,4700,4835,5238,5115,ms
Task Path,:core:login:kspDebugKotlin,4949,4927,5013,4851,5523,5650,ms
Task Path,:core:identity:compileDebugKotlin,5247,5163,5165,5017,5983,5980,ms
Task Path,:core:location:compileDebugKotlin,6016,5966,6028,5902,6548,6807,ms
Task Path,:core:message:kspDebugKotlin,5014,4877,4987,4824,5506,5541,ms
Task Path,:core:login:compileDebugKotlin,4144,4247,4140,4293,4637,5047,ms
Task Path,:core:network:kspDebugKotlin,4410,4505,4470,4494,4841,5053,ms
Task Path,:core:notification:kspDebugKotlin,4581,4531,4558,4537,5137,5069,ms
Task Path,:core:message:compileDebugKotlin,6467,6701,6398,6760,7292,7623,ms
Task Path,:core:post:kspDebugKotlin,4401,4460,4401,4486,4832,5080,ms
Task Path,:core:message:compileDebugJavaWithJavac,1018,1035,1009,1023,1246,1263,ms
Task Path,:core:network:compileDebugKotlin,4182,4226,4127,4127,4933,4837,ms
Task Path,:core:notification:compileDebugKotlin,6001,5955,6012,5875,6560,6757,ms
Task Path,:core:profile:kspDebugKotlin,4809,4882,4785,4762,5375,5475,ms
Task Path,:core:post:compileDebugKotlin,5986,5989,6033,5964,6636,6764,ms
Task Path,:core:push:kspDebugKotlin,4343,4547,4461,4597,5032,5092,ms
Task Path,:core:report:kspDebugKotlin,4889,4765,4972,4687,5484,5601,ms
Task Path,:core:push:compileDebugKotlin,3651,3633,3646,3625,4222,4413,ms
Task Path,:core:profile:compileDebugKotlin,5750,5686,5710,5712,6503,6570,ms
Task Path,:core:search:kspDebugKotlin,4418,4567,4367,4554,4882,5139,ms
Task Path,:core:report:compileDebugKotlin,4815,4915,4752,5006,5514,5447,ms
Task Path,:core:session:kspDebugKotlin,4035,4026,4016,4034,4499,4442,ms
Task Path,:core:search:compileDebugKotlin,4128,4095,4065,4173,4864,4727,ms
Task Path,:core:setting:kspDebugKotlin,4599,4793,4533,4802,5140,5221,ms
Task Path,:core:session:compileDebugKotlin,3066,3100,3039,3017,3731,3602,ms
Task Path,:core:share:kspDebugKotlin,4237,4290,4207,4281,4815,4808,ms
Task Path,:core:setting:compileDebugKotlin,2858,2837,2889,2840,3395,3208,ms
Task Path,:core:sync:kspDebugKotlin,5033,5164,5027,5067,5590,5693,ms
Task Path,:core:share:compileDebugKotlin,3149,3355,3093,3310,3654,3855,ms
Task Path,:core:user:kspDebugKotlin,3997,4184,3963,4113,4592,4841,ms
Task Path,:core:sync:compileDebugKotlin,5354,5485,5433,5487,6024,6121,ms
Task Path,:feature:photo:kspDebugKotlin,4134,4225,4168,4177,4595,4880,ms
Task Path,:feature:podcast:kspDebugKotlin,3755,3667,3781,3729,4172,4117,ms
Task Path,:core:user:compileDebugKotlin,3443,3509,3438,3474,3939,4184,ms
Task Path,:feature:podcast:compileDebugKotlin,2139,2169,2175,2159,2660,2513,ms
Task Path,:feature:photo:compileDebugKotlin,2562,2543,2512,2566,3045,2934,ms
Task Path,:feature:audio:kspDebugKotlin,3777,3885,3755,3901,4339,4535,ms
Task Path,:feature:event:kspDebugKotlin,4131,4289,4112,4271,4695,4948,ms
Task Path,:feature:map:kspDebugKotlin,3380,3428,3355,3462,3871,3995,ms
Task Path,:feature:log:kspDebugKotlin,4195,4322,4099,4248,4782,4864,ms
Task Path,:feature:audio:compileDebugKotlin,2861,2922,2834,2870,3188,3298,ms
