Category,Metric,varianta_parallel Mean,variantb_g1 Mean,varianta_parallel P50,variantb_g1 P50,varianta_parallel P90,variantb_g1 P90,Unit
Task Path,:layer_1:module_1_147:kspDebugKotlin,2388,2451,2324,2387,2914,2852,ms
Task Path,:layer_1:module_1_149:kspDebugKotlin,2493,2543,2441,2480,2942,2869,ms
Task Path,:layer_1:module_1_148:kspDebugKotlin,2942,3015,2911,2979,3343,3357,ms
Task Path,:layer_1:module_1_146:compileDebugKotlin,1769,1819,1724,1806,2130,2261,ms
Task Path,:layer_1:module_1_147:compileDebugKotlin,1947,1986,1908,1932,2261,2431,ms
Task Path,:layer_1:module_1_149:compileDebugKotlin,1307,1319,1291,1293,1424,1645,ms
Task Path,:layer_1:module_1_148:compileDebugKotlin,2385,2388,2367,2352,2707,2650,ms
Task Path,:layer_1:module_1_150:kspDebugKotlin,2446,2417,2522,2374,2910,3125,ms
Task Path,:layer_1:module_1_151:kspDebugKotlin,2227,2331,2194,2296,2775,2780,ms
Task Path,:layer_1:module_1_150:compileDebugKotlin,1171,1224,1128,1182,1361,1655,ms
Task Path,:layer_1:module_1_153:kspDebugKotlin,2510,2516,2440,2452,3085,2943,ms
Task Path,:layer_1:module_1_152:kspDebugKotlin,3013,2986,2918,2932,3591,3386,ms
Task Path,:layer_1:module_1_153:compileDebugKotlin,1411,1388,1381,1370,1584,1538,ms
Task Path,:layer_1:module_1_151:compileDebugKotlin,2047,2051,2010,1999,2435,2461,ms
Task Path,:layer_1:module_1_154:kspDebugKotlin,2985,2927,2932,2881,3544,3563,ms
