Category,Metric,varianta_r8 Mean,variantb_kill_process_before_r8 Mean,varianta_r8 P50,variantb_kill_process_before_r8 P50,varianta_r8 P90,variantb_kill_process_before_r8 P90,Unit
Task Path,:model:cart-login:kspReleaseKotlin,3070,3297,3075,3328,3386,3701,ms
Task Path,:model:cart-login:compileReleaseKotlin,1718,1819,1674,1691,2178,2380,ms
Task Path,:model:playlist-contact:kspReleaseKotlin,3266,3325,3272,3345,3825,3802,ms
Task Path,:repository:report-contact:compileReleaseKotlin,2455,2628,2414,2483,2873,3492,ms
Task Path,:model:push-login:kspReleaseKotlin,3032,3235,2985,3304,3820,3777,ms
Task Path,:model:push-login:compileReleaseKotlin,1748,1774,1671,1767,2297,2207,ms
Task Path,:model:playlist-contact:compileReleaseKotlin,2466,2648,2370,2603,2937,3264,ms
Task Path,:model:checkout-login:kspReleaseKotlin,3087,3211,3072,3227,3621,3877,ms
Task Path,:model:contact-login:kspReleaseKotlin,4099,4279,3987,4285,5178,5021,ms
Task Path,:model:checkout-login:compileReleaseKotlin,2113,2189,2021,2199,2725,2518,ms
Task Path,:model:login-login:kspReleaseKotlin,3865,3846,3625,3692,4831,4526,ms
Task Path,:model:identity-login:kspReleaseKotlin,3510,3447,3334,3410,4353,3822,ms
Task Path,:model:contact-login:compileReleaseKotlin,3433,3305,3360,3332,4041,3597,ms
Task Path,:model:identity-login:compileReleaseKotlin,2456,2427,2399,2454,2861,2753,ms
Task Path,:model:login-login:compileReleaseKotlin,3500,3372,3426,3339,4185,3791,ms
Task Path,:model:user-login:kspReleaseKotlin,3713,3736,3833,3770,4336,4398,ms
Task Path,:model:profile-login:kspReleaseKotlin,3245,3264,3265,3229,3652,3637,ms
Task Path,:model:feed-login:kspReleaseKotlin,3668,3585,3637,3546,4017,4119,ms
Task Path,:model:comment-login:kspReleaseKotlin,3603,3439,3519,3433,4179,3952,ms
Task Path,:model:user-login:compileReleaseKotlin,3091,2976,3038,2953,3581,3393,ms
Task Path,:model:profile-login:compileReleaseKotlin,2864,2840,2789,2810,3416,3261,ms
Task Path,:model:comment-login:compileReleaseKotlin,2208,2201,2187,2161,2670,2474,ms
