Category,Metric,varianta_gradle_9_1_0 Mean,variantb_gradle_9_2_0-rc-1 Mean,varianta_gradle_9_1_0 P50,variantb_gradle_9_2_0-rc-1 P50,varianta_gradle_9_1_0 P90,variantb_gradle_9_2_0-rc-1 P90,Unit
Task Path,:repository:media-contact:compileDebugKotlin,1537,1545,1543,1468,1863,2169,ms
Task Path,:repository:photo-contact:kspDebugKotlin,2595,2636,2576,2598,2974,3274,ms
Task Path,:repository:network-login:kspDebugKotlin,2771,2658,2694,2645,3238,3008,ms
Task Path,:repository:playlist-contact:kspDebugKotlin,2502,2720,2511,2752,3056,3385,ms
Task Path,:repository:photo-contact:compileDebugKotlin,1464,1662,1457,1618,1796,2189,ms
Task Path,:repository:playlist-contact:compileDebugKotlin,1531,1503,1451,1424,2116,1899,ms
Task Path,:repository:network-login:compileDebugKotlin,1605,1732,1538,1630,2026,2314,ms
Task Path,:repository:podcast-contact:kspDebugKotlin,2623,2723,2675,2638,3144,3377,ms
Task Path,:repository:podcast-contact:compileDebugKotlin,1430,1410,1364,1299,1793,2066,ms
Task Path,:repository:profile-login:kspDebugKotlin,2511,2466,2479,2316,3105,3292,ms
Task Path,:repository:push-login:kspDebugKotlin,2518,2527,2384,2399,3002,3434,ms
Task Path,:repository:session-login:kspDebugKotlin,2782,2805,2715,2567,3317,3687,ms
Task Path,:repository:setting-login:kspDebugKotlin,2591,2486,2620,2486,3170,2804,ms
Task Path,:repository:profile-login:compileDebugKotlin,1457,1432,1390,1412,1864,1754,ms
Task Path,:repository:push-login:compileDebugKotlin,1444,1360,1410,1322,1756,1595,ms
Task Path,:repository:session-login:compileDebugKotlin,1515,1494,1494,1443,1800,1839,ms
Task Path,:repository:setting-login:compileDebugKotlin,1423,1319,1366,1275,1861,1740,ms
Task Path,:repository:share-login:kspDebugKotlin,2562,2462,2590,2358,3044,2897,ms
Task Path,:repository:sync-login:kspDebugKotlin,2544,2463,2505,2484,3079,2864,ms
Task Path,:repository:user-login:kspDebugKotlin,2484,2451,2384,2374,3002,3115,ms
Task Path,:repository:video-contact:kspDebugKotlin,2493,2539,2421,2476,2965,3138,ms
Task Path,:repository:share-login:compileDebugKotlin,1429,1330,1376,1289,1839,1570,ms
Task Path,:repository:sync-login:compileDebugKotlin,1463,1439,1426,1429,1861,1886,ms
Task Path,:repository:user-login:compileDebugKotlin,1509,1470,1507,1446,1826,1926,ms
Task Path,:repository:video-contact:compileDebugKotlin,1427,1567,1440,1564,1765,2015,ms
Task Path,:model:alarm-login:kspDebugKotlin,2935,3082,2823,3140,3602,3559,ms
Task Path,:repository:contact-login:kspDebugKotlin,2953,3152,2936,3044,3427,3963,ms
Task Path,:repository:gallery-contact:kspDebugKotlin,2759,3132,2690,3020,3379,3886,ms
Task Path,:model:alarm-login:compileDebugKotlin,1501,1475,1484,1419,1876,1759,ms
Task Path,:repository:notification-login:kspDebugKotlin,2803,2871,2723,2790,3382,3449,ms
Task Path,:repository:contact-login:compileDebugKotlin,1599,1777,1554,1728,2009,2301,ms
Task Path,:repository:gallery-contact:compileDebugKotlin,1649,1672,1555,1676,2254,2131,ms
Task Path,:repository:notification-login:compileDebugKotlin,1538,1594,1487,1491,1913,2204,ms
Task Path,:repository:checkout-login:kspDebugKotlin,2620,2522,2508,2450,3367,3270,ms
Task Path,:repository:checkout-login:compileDebugKotlin,1519,1402,1461,1288,1912,1815,ms
Task Path,:model:analytics-login:kspDebugKotlin,2656,2461,2699,2464,3112,3040,ms
Task Path,:repository:message-login:kspDebugKotlin,2880,2652,2730,2562,3772,3239,ms
Task Path,:repository:search-login:kspDebugKotlin,2678,2570,2587,2545,3271,3098,ms
Task Path,:model:analytics-login:compileDebugKotlin,1465,1379,1385,1317,1915,1648,ms
Task Path,:repository:message-login:compileDebugKotlin,1524,1471,1477,1402,2012,1811,ms
Task Path,:repository:search-login:compileDebugKotlin,1412,1341,1359,1317,1836,1657,ms
Task Path,:model:document-login:kspDebugKotlin,2670,2605,2688,2536,3110,3061,ms
Task Path,:repository:post-login:kspDebugKotlin,2584,2476,2458,2439,3657,2898,ms
Task Path,:model:calendar-login:kspDebugKotlin,2411,2380,2403,2364,2861,2692,ms
Task Path,:model:document-login:compileDebugKotlin,1487,1440,1420,1366,2128,1964,ms
Task Path,:model:article-login:kspDebugKotlin,2894,2908,2722,2785,3859,3481,ms
Task Path,:model:contact-identity:kspDebugKotlin,2732,2711,2519,2525,3479,3242,ms
Task Path,:model:calendar-login:compileDebugKotlin,1460,1485,1324,1405,2280,1994,ms
Task Path,:repository:post-login:compileDebugKotlin,1423,1351,1369,1248,2011,1894,ms
Task Path,:model:contact-identity:compileDebugKotlin,1392,1358,1333,1343,1926,1764,ms
Task Path,:model:article-login:compileDebugKotlin,1562,1577,1481,1507,2095,1942,ms
Task Path,:model:list-login:kspDebugKotlin,2261,2226,2262,2237,2782,2860,ms
Task Path,:model:event-login:kspDebugKotlin,2541,2560,2428,2484,3182,3174,ms
Task Path,:model:file-login:kspDebugKotlin,2313,2279,2237,2251,2954,2822,ms
Task Path,:model:forecast-login:kspDebugKotlin,2363,2382,2329,2336,2833,2901,ms
Task Path,:model:gallery-login:kspDebugKotlin,2675,2634,2547,2572,3333,3286,ms
Task Path,:model:event-login:compileDebugKotlin,1590,1569,1495,1550,2168,1731,ms
Task Path,:model:file-login:compileDebugKotlin,1515,1464,1422,1450,2013,1710,ms
Task Path,:model:forecast-login:compileDebugKotlin,1453,1450,1411,1419,1905,1813,ms
Task Path,:model:gallery-login:compileDebugKotlin,1313,1422,1278,1434,1478,1743,ms
Task Path,:model:list-login:compileDebugKotlin,1277,1331,1272,1313,1498,1737,ms
Task Path,:model:log-login:kspDebugKotlin,2221,2347,2241,2367,2686,2761,ms
Task Path,:model:login-identity:kspDebugKotlin,2383,2440,2332,2395,3032,2961,ms
Task Path,:model:map-login:kspDebugKotlin,2468,2526,2383,2527,3071,3195,ms
Task Path,:model:log-login:compileDebugKotlin,1395,1367,1319,1332,1959,1750,ms
Task Path,:model:login-identity:compileDebugKotlin,1379,1345,1273,1357,2009,1724,ms
Task Path,:model:media-login:kspDebugKotlin,2375,2293,2306,2260,2911,2726,ms
Task Path,:model:map-login:compileDebugKotlin,1443,1349,1374,1296,1944,1674,ms
Task Path,:model:media-login:compileDebugKotlin,1235,1231,1199,1212,1682,1541,ms
Task Path,:model:news-login:kspDebugKotlin,2275,2352,2249,2287,2856,2838,ms
Task Path,:model:note-login:kspDebugKotlin,2293,2437,2254,2318,2807,2998,ms
Task Path,:model:photo-login:kspDebugKotlin,2278,2263,2259,2152,2809,2831,ms
Task Path,:model:news-login:compileDebugKotlin,1350,1350,1284,1252,1948,1913,ms
Task Path,:model:podcast-login:kspDebugKotlin,2345,2197,2265,2155,2900,2618,ms
Task Path,:model:note-login:compileDebugKotlin,1394,1353,1342,1231,1822,1882,ms
Task Path,:model:photo-login:compileDebugKotlin,1378,1333,1317,1246,1783,1738,ms
Task Path,:model:podcast-login:compileDebugKotlin,1336,1337,1270,1280,1958,1777,ms
Task Path,:model:push-identity:kspDebugKotlin,2467,2452,2419,2358,3015,2887,ms
